sp_code,mean_wt
aaeg,0.008000000000000007
alec,0.125
bpro,0.494
cvig,1.1025
dcar,3.0823333333333327
mbis,0.3599999999999999
ocon,0.16500000000000004
open,0.018999999999999906
pign,1.8109999999999995
pvin,1.7069999999999999
