effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),4.16965666066608,0.26144897441954384,15.948261682507443,2.9293777913218737e-57
fixed,NA,sp_codealec,0.23404425833071762,0.07830836883843297,2.9887515447244386,0.00280119814300068
fixed,NA,sp_codecvig,0.4566479397965615,0.07477687720434803,6.10680676793506,1.0164417292142852e-9
fixed,NA,sp_codedcar,-0.5177036633485232,0.09575038317935054,-5.406805133915859,6.41588806137295e-8
fixed,NA,sp_codeopen,-1.37270102750579,0.13012085836805293,-10.549431080626913,5.110560111113731e-26
fixed,NA,sp_codepign,-0.10460435705395059,0.08499431528625646,-1.230721804177709,0.21842693021160225
fixed,NA,patch_typeConnected,-0.7494844634255515,0.10327924257774934,-7.256874128035305,3.9613801627888176e-13
fixed,NA,patch_typeRectangle,-1.4871077313764256,0.13626675267930313,-10.913210318266392,9.96730699154015e-28
fixed,NA,patch_typeWinged,-1.1881203821327326,0.121057090219371,-9.814546012792029,9.747575465496398e-23
fixed,NA,sp_codealec:patch_typeConnected,0.4946751777956147,0.1298870093650451,3.808503869739113,1.3981015880112308e-4
fixed,NA,sp_codecvig:patch_typeConnected,0.594969067307595,0.1239577583783146,4.799772721702267,1.5884579211097997e-6
fixed,NA,sp_codedcar:patch_typeConnected,0.5671692523490535,0.15266051912684545,3.715232042921282,2.0301730415963617e-4
fixed,NA,sp_codeopen:patch_typeConnected,0.5725642076869333,0.20074190837756056,2.85224053270451,0.004341223737844367
fixed,NA,sp_codepign:patch_typeConnected,0.760835225626145,0.13500083087242085,5.635781800077611,1.7426591932086513e-8
fixed,NA,sp_codealec:patch_typeRectangle,0.8993259834766627,0.16172052457365885,5.560988537772438,2.6825081736204923e-8
fixed,NA,sp_codecvig:patch_typeRectangle,0.8343488204451344,0.15780326009224385,5.287272391948151,1.2415369505584384e-7
fixed,NA,sp_codedcar:patch_typeRectangle,0.827873886065837,0.18820230508878363,4.398850936896288,1.0882553898057283e-5
fixed,NA,sp_codeopen:patch_typeRectangle,0.7939722052167005,0.24308969042098413,3.266169798652073,0.0010901286154451598
fixed,NA,sp_codepign:patch_typeRectangle,1.2281675152103393,0.16520722856116388,7.434102768424814,1.0528009838690208e-13
fixed,NA,sp_codealec:patch_typeWinged,0.8185863710955706,0.1458895192814143,5.6110019083451395,2.0115854650418375e-8
fixed,NA,sp_codecvig:patch_typeWinged,0.986963524213111,0.13955132534097472,7.0724052372960236,1.5227096758084876e-12
fixed,NA,sp_codedcar:patch_typeWinged,1.0195011891553598,0.16492342192788673,6.1816640549766175,6.342939614763792e-10
fixed,NA,sp_codeopen:patch_typeWinged,0.41042330341134947,0.23992304434944617,1.7106456135725374,0.08714655319013687
fixed,NA,sp_codepign:patch_typeWinged,1.0365096355911687,0.15125667998670544,6.852653619544418,7.249247044867232e-12
ran_pars,block,sd__(Intercept),0.5094026352264326,NA,NA,NA
