sample_id,pvin,mbis,otub,bpro,pign,open,cvig,dcar,cmin,alec,ap*,dgib,mvul,ocon,gbla,ostr
135,,,,2,7,5,12,3,,10,7,,,,,
136,2,1,,3,6,3,10,6,,2,1,,,,,
137,1,,,,4,,3,2,,22,2,,,,,
138,,1,,1,6,1,2,5,,18,,,,,,
139,3,,,,4,7,1,1,,2,,,,,,
140,,,,1,10,6,,1,,8,1,,,,,
141,,,,,15,3,3,1,,2,,,,,,
142,,6,,,12,6,11,4,,12,9,,,,,
143,,,,,4,2,5,1,,2,14,,,,,
144,3,3,,,2,3,10,5,,3,6,,,,,
145,,,,1,,,,,,,,,,,,
146,1,,,,2,,,1,,,,,,,,
147,,,,,1,,,,,,,,,,,
148,1,,,1,,,,,,,,,,,,
149,1,,,,2,1,,,,,,,,,,
150,,,,,2,,1,2,,,,,,,,
151,,,,,3,2,,4,,,,1,,,,
152,,1,,,1,,,3,,,1,,,,,
153,,,,,4,,,1,,,,,,,,
154,2,,,,,,,,,,,,,,,
155,2,,,,,1,,,,,,,,,,
156,,2,,,1,,3,1,,3,,,,,,
157,,2,,,2,,1,1,,3,,,,,,
158,1,,,,1,,,1,,5,,,,,,
159,2,2,,,,,,,,3,,,,,,
160,,,,,,,,1,,12,1,,,,,
161,,1,,,,,,3,,12,10,,,1,,
162,,,,,1,,,1,,14,2,,,,,
163,,2,,,1,,1,,,2,,,,,,
164,,2,,,1,,1,2,,1,1,,,,,
165,,,,,2,,,,,2,,,,,,
166,2,4,,,3,,,1,,,,,,,,
167,,2,,,6,1,,,,1,,,,,,
168,,3,,,6,,2,,,4,,,,,,
169,,,,1,,,10,1,,13,6,,,,,
170,,1,,,,,,,,5,1,,,,,
171,1,,,,1,3,7,5,,6,10,,,,,
172,,1,,,1,1,5,,,4,1,,,,,
173,2,1,,,2,,1,3,,13,,,,,,
174,1,,,,1,,4,3,,11,,,,,,
175,4,3,,,1,,2,,,,,,,,,
176,,1,,,,2,,,,1,,,,,,
177,1,1,,1,1,,1,,,1,,,,,,
178,,1,,,3,,9,4,,,6,,,,,
179,3,5,,,6,1,6,2,,8,6,,,,,
180,1,4,,,3,1,5,2,,,2,,,,,
181,,,,,1,1,1,2,,,1,,,,,
182,2,,,,2,,6,3,,,,,,,,
183,1,,,,3,1,2,1,,,,,,,,
184,,,,,2,,,2,,1,1,,,,,
185,3,,,,2,,,3,,,2,,,,,
186,2,,,,8,1,1,3,,,1,,,,,
187,,,,,,,,2,,,,,,,,
188,1,,,,,,,,,,,,,,,
189,,,,,1,,,,,,,,,,,
190,,,,,1,,,,,,,,,,,
191,,,,,2,,,,,,,,,,,
192,,1,,,2,,1,,,,,,,,,
